year,capture.loc,julian.day,mdy,abundance,Stock,value
2020,5,191,7/9,1,Shaktoolik,0.031733248
2020,5,191,7/9,1,Unalakleet,0.909345497
2020,5,191,7/9,1,Transitory,0.058921254
2020,5,197,7/15,1,Shaktoolik,0.048573804
2020,5,197,7/15,1,Unalakleet,0.876363649
2020,5,197,7/15,1,Transitory,0.075062547
2020,5,207,7/25,46,Shaktoolik,4.388061593
2020,5,207,7/25,46,Unalakleet,36.61787199
2020,5,207,7/25,46,Transitory,4.99406642
2020,5,214,8/1,76,Shaktoolik,11.20357236
2020,5,214,8/1,76,Unalakleet,54.5014588
2020,5,214,8/1,76,Transitory,10.29496884
2020,5,221,8/8,518,Shaktoolik,113.1446581
2020,5,221,8/8,518,Unalakleet,320.8931634
2020,5,221,8/8,518,Transitory,83.9621785
2020,5,228,8/15,590,Shaktoolik,181.3641685
2020,5,228,8/15,590,Unalakleet,299.9195299
2020,5,228,8/15,590,Transitory,108.7163016
2020,5,241,8/28,413,Shaktoolik,205.3793612
2020,5,241,8/28,413,Unalakleet,124.7526962
2020,5,241,8/28,413,Transitory,82.86794256
2020,6,207,7/25,40,Shaktoolik,0.413331848
2020,6,207,7/25,40,Unalakleet,38.04022533
2020,6,207,7/25,40,Transitory,1.546442819
2020,6,214,8/1,233,Shaktoolik,4.040789401
2020,6,214,8/1,233,Unalakleet,216.7569836
2020,6,214,8/1,233,Transitory,12.20222701
2020,6,221,8/8,749,Shaktoolik,21.58314237
2020,6,221,8/8,749,Unalakleet,674.8123678
2020,6,221,8/8,749,Transitory,52.60448982
2020,6,228,8/15,728,Shaktoolik,34.35463138
2020,6,228,8/15,728,Unalakleet,626.062789
2020,6,228,8/15,728,Transitory,67.58257963
2020,6,241,8/28,391,Shaktoolik,43.39878076
2020,6,241,8/28,391,Unalakleet,290.2449119
2020,6,241,8/28,391,Transitory,57.35630732
2021,5,197,7/16,8,Shaktoolik,7.240468396
2021,5,197,7/16,8,Unalakleet,0.560426353
2021,5,197,7/16,8,Transitory,0.199105251
2021,5,199,7/18,1,Shaktoolik,0.882904714
2021,5,199,7/18,1,Unalakleet,0.08669896
2021,5,199,7/18,1,Transitory,0.030396326
2021,5,202,7/21,5,Shaktoolik,4.206847053
2021,5,202,7/21,5,Unalakleet,0.590284717
2021,5,202,7/21,5,Transitory,0.20286823
2021,5,203,7/22,50,Shaktoolik,41.25429288
2021,5,203,7/22,50,Unalakleet,6.51984154
2021,5,203,7/22,50,Transitory,2.225865581
2021,5,204,7/23,18,Shaktoolik,14.5352367
2021,5,204,7/23,18,Unalakleet,2.587321024
2021,5,204,7/23,18,Transitory,0.877442279
2021,5,206,7/25,40,Shaktoolik,30.73679232
2021,5,206,7/25,40,Unalakleet,6.94062936
2021,5,206,7/25,40,Transitory,2.322578324
2021,5,213,8/1,7,Shaktoolik,4.154697356
2021,5,213,8/1,7,Unalakleet,2.156687716
2021,5,213,8/1,7,Transitory,0.688614929
2021,5,214,8/2,90,Shaktoolik,50.8459945
2021,5,214,8/2,90,Unalakleet,29.72625185
2021,5,214,8/2,90,Transitory,9.427753659
2021,5,215,8/3,436,Shaktoolik,233.6713421
2021,5,215,8/3,436,Unalakleet,153.8591165
2021,5,215,8/3,436,Transitory,48.46954132
2021,5,220,8/8,804,Shaktoolik,318.050321
2021,5,220,8/8,804,Unalakleet,373.9225442
2021,5,220,8/8,804,Transitory,112.0271348
2021,5,229,8/17,652,Shaktoolik,122.6960752
2021,5,229,8/17,652,Unalakleet,414.4235559
