"lat","long","n"
63.86,-160.784,2
64.36,-161.206,1
64.33,-161.155,1
64.32,-161.134,7
64.31,-161.119,23
64.3,-161.104,1
64.29,-161.076,16
64.27,-161.048,125
64.24,-160.993,5
64.21,-160.952,5
64.2,-160.953,17
64.18,-160.957,5
64.13,-160.954,71
64.08,-160.947,37
64.07,-160.948,10
64.04,-160.93,1
64.03,-160.925,1
64.02,-160.917,4
64,-160.904,125
63.99,-160.898,11
63.98,-160.883,2
63.96,-160.854,10
63.95,-160.852,16
63.94,-160.844,20
63.93,-160.837,39
63.91,-160.82,1
63.9,-160.809,24
63.89,-160.808,3
63.83,-16076601,10
